# Taxid	Sci.Name	Rank	Named Lineage	Taxid Lineage
10116	Rattus norvegicus	species	root,cellular organisms,Eukaryota,Opisthokonta,Metazoa,Eumetazoa,Bilateria,Deuterostomia,Chordata,Craniata,Vertebrata,Gnathostomata,Teleostomi,Euteleostomi,Sarcopterygii,Dipnotetrapodomorpha,Tetrapoda,Amniota,Mammalia,Theria,Eutheria,Boreoeutheria,Euarchontoglires,Glires,Rodentia,Sciurognathi,Muroidea,Muridae,Murinae,Rattus,Rattus norvegicus	1,131567,2759,33154,33208,6072,33213,33511,7711,89593,7742,7776,117570,117571,8287,1338369,32523,32524,40674,32525,9347,1437010,314146,314147,9989,33553,337687,10066,39107,10114,10116
706437	Streptococcus anginosus F0211	no rank	root,cellular organisms,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus anginosus group,Streptococcus anginosus,Streptococcus anginosus F0211	1,131567,2,1239,91061,186826,1300,1301,671232,1328,706437
706439	Actinomyces sp. oral taxon 171 str. F0337	no rank	root,cellular organisms,Bacteria,Actinobacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Actinomycineae,Actinomycetaceae,Actinomyces,Actinomyces sp. oral taxon 171,Actinomyces sp. oral taxon 171 str. F0337	1,131567,2,201174,1760,85003,2037,85005,2049,1654,706438,706439
526218	Sebaldella termitidis ATCC 33386	no rank	root,cellular organisms,Bacteria,Fusobacteria,Fusobacteriia,Fusobacteriales,Leptotrichiaceae,Sebaldella,Sebaldella termitidis,Sebaldella termitidis ATCC 33386	1,131567,2,32066,203490,203491,1129771,32068,826,526218
754035	Mesorhizobium australicum WSM2073	no rank	root,cellular organisms,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Phyllobacteriaceae,Mesorhizobium,Mesorhizobium australicum,Mesorhizobium australicum WSM2073	1,131567,2,1224,28211,356,69277,68287,536018,754035
526222	Desulfovibrio salexigens DSM 2638	no rank	root,cellular organisms,Bacteria,Proteobacteria,delta/epsilon subdivisions,Deltaproteobacteria,Desulfovibrionales,Desulfovibrionaceae,Desulfovibrio,Desulfovibrio salexigens,Desulfovibrio salexigens DSM 2638	1,131567,2,1224,68525,28221,213115,194924,872,880,526222
1288079	Streptomyces sp. CNT318	species	root,cellular organisms,Bacteria,Actinobacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Streptomycineae,Streptomycetaceae,Streptomyces,Streptomyces sp. CNT318	1,131567,2,201174,1760,85003,2037,85011,2062,1883,1288079
526224	Brachyspira murdochii DSM 12563	no rank	root,cellular organisms,Bacteria,Spirochaetes,Spirochaetia,Spirochaetales,Brachyspiraceae,Brachyspira,Brachyspira murdochii,Brachyspira murdochii DSM 12563	1,131567,2,203691,203692,136,143786,29521,84378,526224
526225	Geodermatophilus obscurus DSM 43160	no rank	root,cellular organisms,Bacteria,Actinobacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Frankineae,Geodermatophilaceae,Geodermatophilus,Geodermatophilus obscurus,Geodermatophilus obscurus DSM 43160	1,131567,2,201174,1760,85003,2037,85013,85030,1860,1861,526225
5141	Neurospora crassa	species	root,cellular organisms,Eukaryota,Opisthokonta,Fungi,Dikarya,Ascomycota,saccharomyceta,Pezizomycotina,leotiomyceta,sordariomyceta,Sordariomycetes,Sordariomycetidae,Sordariales,Sordariaceae,Neurospora,Neurospora crassa	1,131567,2759,33154,4751,451864,4890,716545,147538,716546,715989,147550,222544,5139,5148,5140,5141
68260	Streptomyces pyridomyceticus	species	root,cellular organisms,Bacteria,Actinobacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Streptomycineae,Streptomycetaceae,Streptomyces,Streptomyces pyridomyceticus	1,131567,2,201174,1760,85003,2037,85011,2062,1883,68260
1042326	Rhizobium sp. IBUN	species	root,cellular organisms,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Rhizobium/Agrobacterium group,Rhizobium,Rhizobium sp. IBUN	1,131567,2,1224,28211,356,82115,227290,379,1042326
1944	Streptomyces halstedii	species	root,cellular organisms,Bacteria,Actinobacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Streptomycineae,Streptomycetaceae,Streptomyces,Streptomyces griseus group,Streptomyces halstedii subgroup,Streptomyces halstedii	1,131567,2,201174,1760,85003,2037,85011,2062,1883,629295,1482599,1944
1132441	Arthrobacter sp. 35W	species	root,cellular organisms,Bacteria,Actinobacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Micrococcineae,Micrococcaceae,Arthrobacter,Arthrobacter sp. 35W	1,131567,2,201174,1760,85003,2037,85006,1268,1663,1132441
1132442	Bacillus sp. 37MA	species	root,cellular organisms,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus sp. 37MA	1,131567,2,1239,91061,1385,186817,1386,1132442
935836	Bacillus sp. J33	species	root,cellular organisms,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus sp. J33	1,131567,2,1239,91061,1385,186817,1386,935836
10141	Cavia porcellus	species	root,cellular organisms,Eukaryota,Opisthokonta,Metazoa,Eumetazoa,Bilateria,Deuterostomia,Chordata,Craniata,Vertebrata,Gnathostomata,Teleostomi,Euteleostomi,Sarcopterygii,Dipnotetrapodomorpha,Tetrapoda,Amniota,Mammalia,Theria,Eutheria,Boreoeutheria,Euarchontoglires,Glires,Rodentia,Hystricognathi,Caviidae,Cavia,Cavia porcellus	1,131567,2759,33154,33208,6072,33213,33511,7711,89593,7742,7776,117570,117571,8287,1338369,32523,32524,40674,32525,9347,1437010,314146,314147,9989,33550,10139,10140,10141
935839	Cellulosimicrobium cellulans J36	no rank	root,cellular organisms,Bacteria,Actinobacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Micrococcineae,Promicromonosporaceae,Cellulosimicrobium,Cellulosimicrobium cellulans,Cellulosimicrobium cellulans J36	1,131567,2,201174,1760,85003,2037,85006,85017,157920,1710,935839
935840	Chelativorans sp. J32	species	root,cellular organisms,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Phyllobacteriaceae,Chelativorans,Chelativorans sp. J32	1,131567,2,1224,28211,356,69277,449972,935840
1051632	Sulfobacillus acidophilus TPY	no rank	root,cellular organisms,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiales incertae sedis,Clostridiales Family XVII. Incertae Sedis,Sulfobacillus,Sulfobacillus acidophilus,Sulfobacillus acidophilus TPY	1,131567,2,1239,186801,186802,538999,539000,28033,53633,1051632
550540	Ferrimonas balearica DSM 9799	no rank	root,cellular organisms,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Ferrimonadaceae,Ferrimonas,Ferrimonas balearica,Ferrimonas balearica DSM 9799	1,131567,2,1224,1236,135622,267892,44011,44012,550540
493475	Glaciecola arctica BSs20135	no rank	root,cellular organisms,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Glaciecola,Glaciecola arctica,Glaciecola arctica BSs20135	1,131567,2,1224,1236,135622,72275,89404,1128911,493475
1957	Streptomyces sclerotialus	species	root,cellular organisms,Bacteria,Actinobacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Streptomycineae,Streptomycetaceae,Streptomyces,Streptomyces sclerotialus	1,131567,2,201174,1760,85003,2037,85011,2062,1883,1957
935848	Paracoccus sp. J39	species	root,cellular organisms,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Paracoccus,Paracoccus sp. J39	1,131567,2,1224,28211,204455,31989,265,935848
1961	Streptomyces virginiae	species	root,cellular organisms,Bacteria,Actinobacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Streptomycineae,Streptomycetaceae,Streptomyces,Streptomyces virginiae	1,131567,2,201174,1760,85003,2037,85011,2062,1883,1961
657322	Faecalibacterium prausnitzii SL3/3	no rank	root,cellular organisms,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Faecalibacterium,Faecalibacterium prausnitzii,Faecalibacterium prausnitzii SL3/3	1,131567,2,1239,186801,186802,541000,216851,853,657322
1234679	Carnobacterium maltaromaticum LMA28	no rank	root,cellular organisms,Bacteria,Firmicutes,Bacilli,Lactobacillales,Carnobacteriaceae,Carnobacterium,Carnobacterium maltaromaticum,Carnobacterium maltaromaticum LMA28	1,131567,2,1239,91061,186826,186828,2747,2751,1234679
1968	Streptomyces cellulosae	species	root,cellular organisms,Bacteria,Actinobacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Streptomycineae,Streptomycetaceae,Streptomyces,Streptomyces cellulosae	1,131567,2,201174,1760,85003,2037,85011,2062,1883,1968
362418	Flavobacterium reichenbachii	species	root,cellular organisms,Bacteria,Bacteroidetes/Chlorobi group,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,Flavobacterium reichenbachii	1,131567,2,68336,976,117743,200644,49546,237,362418
